nconst,name,category,actbirthplace,actbirthyear,tconst,movietitle,movieyear,titletype,genres
nm0004778,Adrien Brody,actor,New York,1973,tt0491046,A Matador's Mistress,2008,movie,"Biography,Drama,Romance"
nm0004778,Adrien Brody,actor,New York,1973,tt2923316,American Heist,2014,movie,"Action,Crime,Drama"
nm0004778,Adrien Brody,actor,New York,1973,tt2784936,Backtrack,2015,movie,"Drama,Fantasy,Mystery"
nm0004778,Adrien Brody,actor,New York,1973,tt1655389,Blonde,2021,movie,"Biography,Drama,Romance"
nm0004778,Adrien Brody,actor,New York,1973,tt0212826,Bread and Roses,2000,movie,Drama
nm0004778,Adrien Brody,actor,New York,1973,tt0115781,Bullet,1996,movie,"Action,Crime,Drama"
nm0004778,Adrien Brody,actor,New York,1973,tt6204340,Bullet Head,2017,movie,"Crime,Drama,Thriller"
nm0004778,Adrien Brody,actor,New York,1973,tt1042877,Cadillac Records,2008,movie,"Biography,Drama,Music"
nm0004778,Adrien Brody,actor,New York,1973,tt10023022,Clean,2020,movie,"Crime,Drama"
nm0004778,Adrien Brody,actor,New York,1973,tt1683526,Detachment,2011,movie,Drama
nm0004778,Adrien Brody,actor,New York,1973,tt3672840,Dragon Blade,2015,movie,"Action,Drama,Fantasy"
nm0004778,Adrien Brody,actor,New York,1973,tt9013340,El Tonto,,movie,Comedy
nm0004778,Adrien Brody,actor,New York,1973,tt2378179,Emperor,,movie,"Adventure,Thriller"
nm0004778,Adrien Brody,actor,New York,1973,tt2503792,Expiration,,movie,"Action,Thriller"
nm0004778,Adrien Brody,actor,New York,1973,tt1107816,Giallo,2009,movie,"Crime,Drama,Horror"
nm0004778,Adrien Brody,actor,New York,1973,tt1247667,High School,2010,movie,Comedy
nm0004778,Adrien Brody,actor,New York,1973,tt0427969,Hollywoodland,2006,movie,"Biography,Crime,Drama"
nm0004778,Adrien Brody,actor,New York,1973,tt1754811,InAPPropriate Comedy,2013,movie,Comedy
nm0004778,Adrien Brody,actor,New York,1973,tt0360717,King Kong,2005,movie,"Action,Adventure,Drama"
nm0004778,Adrien Brody,actor,New York,1973,tt0165859,Liberty Heights,1999,movie,"Comedy,Drama,Music"
nm0004778,Adrien Brody,actor,New York,1973,tt0263671,Love the Hard Way,2001,movie,"Crime,Drama,Romance"
nm0004778,Adrien Brody,actor,New York,1973,tt3100274,Manhattan Night,2016,movie,"Crime,Drama,Mystery"
nm0004778,Adrien Brody,actor,New York,1973,tt14813150,Manodrome,,movie,\N
nm0004778,Adrien Brody,actor,New York,1973,tt0160620,Oxygen,1999,movie,"Crime,Drama,Thriller"
nm0004778,Adrien Brody,actor,New York,1973,tt1424381,Predators,2010,movie,"Action,Adventure,Sci-Fi"
nm0004778,Adrien Brody,actor,New York,1973,tt0152176,Restaurant,1998,movie,Drama
nm0004778,Adrien Brody,actor,New York,1973,tt3661298,Septembers of Shiraz,2015,movie,Thriller
nm0004778,Adrien Brody,actor,New York,1973,tt0127288,Six Ways to Sunday,1997,movie,"Comedy,Crime,Drama"
nm0004778,Adrien Brody,actor,New York,1973,tt1017460,Splice,2009,movie,"Drama,Horror,Sci-Fi"
nm0004778,Adrien Brody,actor,New York,1973,tt0162677,Summer of Sam,1999,movie,"Crime,Drama,Romance"
nm0004778,Adrien Brody,actor,New York,1973,tt0114008,Ten Benny,1995,movie,Drama
nm0004778,Adrien Brody,actor,New York,1973,tt0242252,The Affair of the Necklace,2001,movie,"Drama,History,Romance"
nm0004778,Adrien Brody,actor,New York,1973,tt0844286,The Brothers Bloom,2008,movie,"Action,Adventure,Comedy"
nm0004778,Adrien Brody,actor,New York,1973,tt0838221,The Darjeeling Limited,2007,movie,"Adventure,Comedy,Drama"
nm0004778,Adrien Brody,actor,New York,1973,tt0246592,The Dummy,2002,movie,"Comedy,Drama,Romance"
nm0004778,Adrien Brody,actor,New York,1973,tt0997152,The Experiment,2010,movie,"Drama,Thriller"
nm0004778,Adrien Brody,actor,New York,1973,tt2278388,The Grand Budapest Hotel,2014,movie,"Adventure,Comedy,Crime"
nm0004778,Adrien Brody,actor,New York,1973,tt0366627,The Jacket,2005,movie,"Drama,Fantasy,Mystery"
nm0004778,Adrien Brody,actor,New York,1973,tt0119502,The Last Time I Committed Suicide,1997,movie,"Biography,Drama,Romance"
nm0004778,Adrien Brody,actor,New York,1973,tt0253474,The Pianist,2002,movie,"Biography,Drama,Music"
nm0004778,Adrien Brody,actor,New York,1973,tt13434730,The Salamander Lives Twice,,movie,Thriller
nm0004778,Adrien Brody,actor,New York,1973,tt0120413,The Undertaker's Wedding,1997,movie,"Comedy,Crime"
nm0004778,Adrien Brody,actor,New York,1973,tt2343793,Third Person,2013,movie,"Drama,Romance"
nm0004778,Adrien Brody,actor,New York,1973,tt13640696,Untitled Murder Mystery,2022,movie,"History,Mystery,Thriller"
